NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,CONTUNING CARE BEDS
ASCENSION PROVIDENCE,6901 MEDICAL PARKWAY,WACO,TX,76712,"6901 Medical Pkwy, Waco, TX 76712",31.514413,-97.19945,MCLENNAN,2547514000,8
ASCENSION SETON MEDICAL CENTER AUSTIN,1201 WEST 38TH STREET,AUSTIN,TX,78705,"1201 W 38th St, Austin, TX 78705",30.304914,-97.745402,TRAVIS,5123241000,9
ASCENSION SETON NORTHWEST,11113 RESEARCH BOULEVARD,AUSTIN,TX,78759,"11113 Research Blvd, Austin, TX 78759",30.405845,-97.744736,TRAVIS,5123246900,13
BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER - FORT WORTH,1400 8TH AVE,FORT WORTH,TX,76104,"1400 8th Ave, Fort Worth, TX 76104",32.729334,-97.345545,TARRANT,8179262544,37
BAYLOR SCOTT & WHITE MEDICAL CENTER - GRAPEVINE,1650 W COLLEGE ST,GRAPEVINE,TX,76051,"1650 W College St, Grapevine, TX 76051",32.933873,-97.093581,TARRANT,8174811588,1
BAYLOR SCOTT & WHITE MEDICAL CENTER - HILLCREST,100 HILLCREST MEDICAL BLV,WACO,TX,76712,"120 Hillcrest Medical Blvd, Waco, TX 76712",31.487525,-97.157815,MCLENNAN,2542029414,2
BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKE POINTE,6800 SCENIC DR,ROWLETT,TX,75088,"6800 Scenic Dr, Rowlett, TX 75088",32.917635,-96.508664,ROCKWALL,9725208000,13
BAYLOR SCOTT & WHITE MEDICAL CENTER - MCKINNEY,5252 W UNIVERSITY DR,MCKINNEY,TX,75071,"5252 W University Dr, McKinney, TX 75071",33.221085,-96.682581,COLLIN,4697642200,4
BAYLOR SCOTT & WHITE MEDICAL CENTER - TEMPLE,2401 S 31ST ST,TEMPLE,TX,76508,"2401 S 31st St, Temple, TX 76504",31.077709,-97.363854,BELL,2547242111,8
BAYLOR SCOTT & WHITE MEDICAL CENTER - WAXAHACHIE,2400 N IH 35 E,WAXAHACHIE,TX,75165,"2400 N I-35 E, Waxahachie, TX 75165",32.427936,-96.858089,ELLIS,4698434000,5
CHRISTUS GOOD SHEPHERD MEDICAL CENTER - LONGVIEW,700 E MARSHALL AVENUE,LONGVIEW,TX,75601,"700 E Marshall Ave, Longview, TX 75601",32.500863,-94.730171,GREGG,9033151811,18
CHRISTUS ST MICHAEL HEALTH SYSTEM,2600 ST MICHAEL DRIVE,TEXARKANA,TX,75503,"2600 St Michael Dr, Texarkana, TX 75503",33.464014,-94.075579,BOWIE,9036142211,7
DRISCOLL CHILDRENS HOSPITAL,3533 SOUTH ALAMEDA,CORPUS CHRISTI,TX,78411,"3533 S Alameda St, Corpus Christi, TX 78411",27.74814,-97.384405,NUECES,3616945021,6
EL PASO CHILDRENS HOSPITAL,4845 ALAMEDA AVE,EL PASO,TX,79905,"4845 Alameda Ave, El Paso, TX 79905",31.771259,-106.433843,EL PASO,9152428600,24
GUADALUPE REGIONAL MEDICAL CENTER,1215 EAST COURT STREET,SEGUIN,TX,78155,"1215 E Court St, Seguin, TX 78155",29.567935,-97.947397,GUADALUPE,8303792411,2
HCA HOUSTON HEALTHCARE WEST,12141 RICHMOND AVENUE,HOUSTON,TX,77082,"12141 Richmond Ave, Houston, TX 77082",29.729197,-95.594442,HARRIS,2815583444,8
HOUSTON METHODIST BAYTOWN HOSPITAL,4401 GARTH RD,BAYTOWN,TX,77521,"4401 Garth Rd, Baytown, TX 77521",29.769072,-94.979045,HARRIS,2814208600,14
HOUSTON METHODIST HOSPITAL,6565 FANNIN ST,HOUSTON,TX,77030,"6565 Fannin St, Houston, TX 77030",29.709033,-95.400335,HARRIS,7137903311,6
HOUSTON METHODIST SUGAR LAND HOSPITAL,16655 SOUTHWEST FWY,SUGAR LAND,TX,77479,"16655 Southwest Fwy, Sugar Land, TX 77479",29.588964,-95.631127,FORT BEND,2812747000,13
HOUSTON METHODIST THE WOODLANDS HOSPITAL,17201 I-45 SOUTH,THE WOODLANDS,TX,77385,"17201 I-45 S, Shenandoah, TX 77385",30.205188,-95.451727,MONTGOMERY,9362702000,1
HOUSTON METHODIST WEST HOSPITAL,18500 KATY FWY,HOUSTON,TX,77094,"18500 Katy Fwy, Houston, TX 77094",29.787208,-95.697905,HARRIS,8325221000,1
HOUSTON METHODIST WILLOWBROOK HOSPITAL,18220 STATE HIGHWAY 249,HOUSTON,TX,77070,"18220 Tomball Pkwy, Houston, TX 77070",29.966597,-95.551132,HARRIS,2817371000,12
MEDICAL CITY ARLINGTON,3301 MATLOCK RD,ARLINGTON,TX,76015,"3301 Matlock Rd, Arlington, TX 76015",32.690201,-97.113928,TARRANT,8174653241,1
MEMORIAL HERMANN CYPRESS HOSPITAL,27800 NORTHWEST FREEWAY,CYPRESS,TX,77433,"27700 Northwest Fwy, Cypress, TX 77433",29.986183,-95.731952,HARRIS,3462314000,8
MEMORIAL HERMANN GREATER HEIGHTS HOSPITAL,1635 NORTH LOOP WEST,HOUSTON,TX,77008,"1635 N Loop W, Houston, TX 77008",29.810888,-95.43067,HARRIS,7138672000,12
MEMORIAL HERMANN KATY HOSPITAL,23900 KATY FREEWAY,KATY,TX,77494,"23900 Katy Fwy, Katy, TX 77494",29.787086,-95.786189,HARRIS,2816447000,9
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,921 GESSNER ROAD,HOUSTON,TX,77024,"921 Gessner Rd, Houston, TX 77024",29.781137,-95.545763,HARRIS,7139323000,1
MEMORIAL HERMANN NORTHEAST HOSPITAL,18951 MEMORIAL NORTH,HUMBLE,TX,77338,"18951 Memorial Blvd, Humble, TX 77338",29.994309,-95.273599,HARRIS,2815407700,4
MEMORIAL HERMANN SUGAR LAND HOSPITAL,17500 WEST GRAND PARKWAY SOUTH,SUGAR LAND,TX,77479,"17500 W Grand Pkwy S, Sugar Land, TX 77479",29.564723,-95.690119,FORT BEND,2817255202,12
MEMORIAL HERMANN THE WOODLANDS MEDICAL CENTER,9250 PINECROFT,THE WOODLANDS,TX,77380,"9250 Pinecroft Dr, Shenandoah, TX 77380",30.174078,-95.454003,MONTGOMERY,7138972301,6
METHODIST HOSPITAL,7700 FLOYD CURL DRIVE,SAN ANTONIO,TX,78229,"7700 Floyd Curl Dr, San Antonio, TX 78229",29.507191,-98.572298,BEXAR,2105754000,1
METHODIST HOSPITAL | STONE OAK,1139 EAST SONTERRA BLVD,SAN ANTONIO,TX,78258,"1139 E Sonterra Blvd, San Antonio, TX 78258",29.615388,-98.476211,BEXAR,2106382000,1
METHODIST RICHARDSON MEDICAL CENTER,2831 E PRES GEORGE BUSH HWY,RICHARDSON,TX,75082,"Richardson, TX 75082",32.979315,-96.69137,COLLIN,4692042000,12
MIDLAND MEMORIAL HOSPITAL,400 ROSALIND REDFERN GROVER PKWY,MIDLAND,TX,79701,"400 Rosalind Redfern Grover Pkwy, Midland, TX 79701",31.997566,-102.100201,MIDLAND,4322211111,1
MISSION REGIONAL MEDICAL CENTER,900 SOUTH BRYAN ROAD,MISSION,TX,78572,"900 S Bryan Rd, Mission, TX 78572",26.196411,-98.313817,HIDALGO,9563239103,2
NACOGDOCHES MEDICAL CENTER,4920 N E STALLINGS DRIVE,NACOGDOCHES,TX,75965,"4920 NE Stallings Dr, Nacogdoches, TX 75965",31.653211,-94.653926,NACOGDOCHES,9365699481,8
NORTH AUSTIN MEDICAL CENTER,12221 MOPAC EXPRESSWAY NORTH,AUSTIN,TX,78758,"N Mo-Pac Expy, Austin, TX 78759",30.376097,-97.738627,TRAVIS,5129012529,1
NORTH CENTRAL BAPTIST HOSPITAL,520 MADISON OAK,SAN ANTONIO,TX,78258,"520 Madison Oak Dr, San Antonio, TX 78258",29.620513,-98.491862,BEXAR,2102974600,1
OAKBEND MEDICAL CENTER,22003 SOUTHWEST FREEWAY,RICHMOND,TX,77469,"22003 Southwest Fwy, Richmond, TX 77469",29.55578,-95.713908,FORT BEND,2813412000,8
PARKLAND MEMORIAL HOSPITAL,5200 - 5201 HARRY HINES BOULEVARD,DALLAS,TX,75235,"5201 Harry Hines Blvd, Dallas, TX 75235",32.811035,-96.837839,DALLAS,2145900356,12
ST DAVIDS GEORGETOWN HOSPITAL A ST DAVIDS MEDICAL CENTER FACILI,2000 SCENIC DRIVE,GEORGETOWN,TX,78626,"2000 Scenic Dr, Georgetown, TX 78626",30.626493,-97.688147,WILLIAMSON,5129433000,2
ST DAVIDS MEDICAL CENTER,919 E 32ND STREET,AUSTIN,TX,78705,"919 E 32nd St, Austin, TX 78705",30.290681,-97.726745,TRAVIS,5124767111,33
ST DAVIDS SOUTH AUSTIN MEDICAL CENTER,901 W BEN WHITE BLVD,AUSTIN,TX,78704,"901 W Ben White Blvd, Austin, TX 78704",30.227468,-97.773479,TRAVIS,5124472211,9
TEXAS CHILDRENS HOSPITAL,6621 FANNIN STREET,HOUSTON,TX,77030,"6621 Fannin St, Houston, TX 77030",29.708155,-95.400365,HARRIS,8328241000,6
TEXAS HEALTH HARRIS METHODIST HOSPITAL FORT WORTH,1301 PENNSYLVANIA AVE,FORT WORTH,TX,76104,"1301 Pennsylvania Ave, Fort Worth, TX 76104",32.736811,-97.33891,TARRANT,8172502000,8
TEXAS HEALTH HOSPITAL MANSFIELD,2300 LONE STAR ROAD,MANSFIELD,TX,76063,"2300 Lone Star Rd, Mansfield, TX 76063",32.537001,-97.099405,JOHNSON,6823415000,3
TEXAS HEALTH HUGULEY HOSPITAL,11801 SOUTH FREEWAY,BURLESON,TX,76028,"11801 South Fwy, Burleson, TX 76028",32.586584,-97.316183,TARRANT,8172939110,3
TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,1105 CENTRAL EXPY N,ALLEN,TX,75013,"1105 N Central Expy, Allen, TX 75013",33.116231,-96.673545,COLLIN,9727471000,4
TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND,4400 LONG PRAIRIE ROAD,FLOWER MOUND,TX,75028,"4400 Long Prairie Rd, Flower Mound, TX 75028",33.045566,-97.06763,DENTON,4693227000,6
TEXOMA MEDICAL CENTER,5016 SOUTH US HIGHWAY 75,DENISON,TX,75020,"5016 S US Highway 75, Denison, TX 75020",33.710009,-96.584679,GRAYSON,9034164000,5
THE HOSPITALS OF PROVIDENCE EAST CAMPUS,3280 JOE BATTLE BOULEVARD,EL PASO,TX,79938,"3280 Joe Battle Blvd, El Paso, TX 79938",31.790579,-106.264899,EL PASO,9158322000,6
UNITED REGIONAL HEALTH CARE SYSTEM,1600 11TH STREET,WICHITA FALLS,TX,76301,"1600 11th St, Wichita Falls, TX 76301",33.902797,-98.500328,WICHITA,9407648313,14
UNIVERSITY MEDICAL CENTER,602 INDIANA AVENUE,LUBBOCK,TX,79415,"602 Indiana Ave, Lubbock, TX 79415",33.588252,-101.892086,LUBBOCK,8067758200,2
UT HEALTH EAST TEXAS HENDERSON HOSPITAL,300 WILSON STREET,HENDERSON,TX,75652,"300 Wilson St, Henderson, TX 75652",32.161579,-94.796235,RUSK,9036577541,13
WHITE ROCK MEDICAL CENTER,9440 POPPY DRIVE,DALLAS,TX,75218,"9440 Poppy Dr, Dallas, TX 75218",32.834389,-96.704575,DALLAS,2143246100,4
WOMENS HOSPITAL AT RENAISSANCE,5502 SOUTH MC COLL,EDINBURG,TX,78539,"5502 S McColl Rd, Edinburg, TX 78539",26.252768,-98.202966,HIDALGO,9563625601,15