NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,INTERMEDIATE CARE BEDS
ADVENTHEALTH CENTRAL TEXAS,2201 SOUTH CLEAR CREEK ROAD,KILLEEN,TX,76549,"2201 Clear Creek Rd, Killeen, TX 76549",31.113674,-97.801689,BELL,2545198165,24
ASCENSION SETON MEDICAL CENTER AUSTIN,1201 WEST 38TH STREET,AUSTIN,TX,78705,"1201 W 38th St, Austin, TX 78705",30.304914,-97.745402,TRAVIS,5123241000,18
ASCENSION SETON NORTHWEST,11113 RESEARCH BOULEVARD,AUSTIN,TX,78759,"11113 Research Blvd, Austin, TX 78759",30.405845,-97.744736,TRAVIS,5123246900,8
BAYLOR SCOTT & WHITE MEDICAL CENTER - COLLEGE STATION,700 SCOTT AND WHITE DR,COLLEGE STATION,TX,77845,"College Station, TX 77845",30.579234,-96.293826,BRAZOS,9792070100,16
BAYLOR SCOTT & WHITE MEDICAL CENTER - HILLCREST,100 HILLCREST MEDICAL BLV,WACO,TX,76712,"120 Hillcrest Medical Blvd, Waco, TX 76712",31.487525,-97.157815,MCLENNAN,2542029414,48
BAYLOR SCOTT & WHITE MEDICAL CENTER - MCKINNEY,5252 W UNIVERSITY DR,MCKINNEY,TX,75071,"5252 W University Dr, McKinney, TX 75071",33.221085,-96.682581,COLLIN,4697642200,16
CEDAR PARK REGIONAL MEDICAL CENTER,1401 MEDICAL PARKWAY,CEDAR PARK,TX,78613,"1401 Medical Pkwy, Cedar Park, TX 78613",30.532424,-97.812177,WILLIAMSON,5125287000,9
CHI ST LUKES HEALTH BAYLOR COLLEGE OF MEDICINE MEDICAL CENTER,6720 BERTNER,HOUSTON,TX,77030,"6720 Bertner Ave, Houston, TX 77030",29.708712,-95.399962,HARRIS,7137858537,51
CHI ST LUKES HEALTH MEMORIAL LUFKIN,1201 W FRANK AVE,LUFKIN,TX,75904,"1201 W Frank Ave, Lufkin, TX 75904",31.336811,-94.743638,ANGELINA,9366348111,26
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,600 ELIZABETH STREET,CORPUS CHRISTI,TX,78404,"608 Elizabeth Ave, Kingsville, TX 78363",27.500942,-97.861277,NUECES,3618813148,144
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SOUTH,5950 SARATOGA BOULEVARD,CORPUS CHRISTI,TX,78414,"5950 Saratoga Blvd, Corpus Christi, TX 78414",27.681949,-97.376406,NUECES,3619855103,4
COOK CHILDRENS MEDICAL CENTER,801 SEVENTH AVENUE,FORT WORTH,TX,76104,"801 7th Ave, Fort Worth, TX 76104",32.736976,-97.341846,TARRANT,6828854326,37
DALLAS REGIONAL MEDICAL CENTER,1011 NORTH GALLOWAY AVE,MESQUITE,TX,75149,"1011 N Galloway Ave, Mesquite, TX 75149",32.778628,-96.60129,DALLAS,2143207787,26
FREESTONE MEDICAL CENTER,125 NEWMAN STREET,FAIRFIELD,TX,75840,"125 Newman St, Fairfield, TX 75840",31.724893,-96.169516,FREESTONE,9033892121,2
GUADALUPE REGIONAL MEDICAL CENTER,1215 EAST COURT STREET,SEGUIN,TX,78155,"1215 E Court St, Seguin, TX 78155",29.567935,-97.947397,GUADALUPE,8303792411,6
HCA HOUSTON HEALTHCARE KINGWOOD,22999 US HIGHWAY 59,KINGWOOD,TX,77339,"22999 US Highway 59 N, Humble, TX 77339",30.05008,-95.254977,MONTGOMERY,2813488001,16
HCA HOUSTON HEALTHCARE WEST,12141 RICHMOND AVENUE,HOUSTON,TX,77082,"12141 Richmond Ave, Houston, TX 77082",29.729197,-95.594442,HARRIS,2815583444,6
HOUSTON METHODIST BAYTOWN HOSPITAL,4401 GARTH RD,BAYTOWN,TX,77521,"4401 Garth Rd, Baytown, TX 77521",29.769072,-94.979045,HARRIS,2814208600,7
HOUSTON METHODIST THE WOODLANDS HOSPITAL,17201 I-45 SOUTH,THE WOODLANDS,TX,77385,"17201 I-45 S, Shenandoah, TX 77385",30.205188,-95.451727,MONTGOMERY,9362702000,16
HOUSTON METHODIST WEST HOSPITAL,18500 KATY FWY,HOUSTON,TX,77094,"18500 Katy Fwy, Houston, TX 77094",29.787208,-95.697905,HARRIS,8325221000,64
KINDRED HOSPITAL HOUSTON NW,11297 FALLBROOK DRIVE,HOUSTON,TX,77065,"11297 Fallbrook Dr, Houston, TX 77065",29.924425,-95.588005,HARRIS,2815171000,3
LEGENT ORTHOPEDIC + SPINE,5330 NORTH LOOP 1604 WEST,SAN ANTONIO,TX,78249,"5330 N Loop 1604 W, San Antonio, TX 78249",29.590754,-98.590351,BEXAR,2108778000,4
MEMORIAL HERMANN CYPRESS HOSPITAL,27800 NORTHWEST FREEWAY,CYPRESS,TX,77433,"27700 Northwest Fwy, Cypress, TX 77433",29.986183,-95.731952,HARRIS,3462314000,20
MEMORIAL HERMANN KATY HOSPITAL,23900 KATY FREEWAY,KATY,TX,77494,"23900 Katy Fwy, Katy, TX 77494",29.787086,-95.786189,HARRIS,2816447000,24
MEMORIAL HERMANN NORTHEAST HOSPITAL,18951 MEMORIAL NORTH,HUMBLE,TX,77338,"18951 Memorial Blvd, Humble, TX 77338",29.994309,-95.273599,HARRIS,2815407700,30
MEMORIAL HERMANN SUGAR LAND HOSPITAL,17500 WEST GRAND PARKWAY SOUTH,SUGAR LAND,TX,77479,"17500 W Grand Pkwy S, Sugar Land, TX 77479",29.564723,-95.690119,FORT BEND,2817255202,24
MEMORIAL HERMANN THE WOODLANDS MEDICAL CENTER,9250 PINECROFT,THE WOODLANDS,TX,77380,"9250 Pinecroft Dr, Shenandoah, TX 77380",30.174078,-95.454003,MONTGOMERY,7138972301,60
MEMORIAL HOSPITAL,224 EAST SECOND STREET,DUMAS,TX,79029,"224 E 2nd St, Dumas, TX 79029",35.864457,-101.971275,MOORE,8069347801,4
METHODIST DALLAS MEDICAL CENTER,1441 NORTH BECKLEY AVENUE,DALLAS,TX,75203,"1441 N Beckley Ave, Dallas, TX 75203",32.76156,-96.825026,DALLAS,2149478181,34
METHODIST CHARLTON MEDICAL CENTER,3500 W WHEATLAND RD,DALLAS,TX,75237,"3500 W Wheatland Rd, Dallas, TX 75237",32.64507,-96.876347,DALLAS,2149477777,36
METHODIST MANSFIELD MEDICAL CENTER,2700 E BROAD ST,MANSFIELD,TX,76063,"2700 E Broad St, Mansfield, TX 76063",32.568385,-97.094466,TARRANT,6822426000,32
METHODIST RICHARDSON MEDICAL CENTER,2831 E PRES GEORGE BUSH HWY,RICHARDSON,TX,75082,"Richardson, TX 75082",32.979315,-96.69137,COLLIN,4692042000,25
NACOGDOCHES MEMORIAL HOSPITAL,1204 NORTH MOUND STREET,NACOGDOCHES,TX,75961,"1204 N Mound St, Nacogdoches, TX 75961",31.612936,-94.648719,NACOGDOCHES,9365644611,16
NORTHEAST METHODIST HOSPITAL,12412 JUDSON ROAD,SAN ANTONIO,TX,78233,"12412 Judson Rd, Live Oak, TX 78233",29.552277,-98.347883,BEXAR,2107577000,30
PERMIAN REGIONAL MEDICAL CENTER,720 HOSPITAL DRIVE,ANDREWS,TX,79714,"720 Hospital Dr, Andrews, TX 79714",32.337516,-102.546351,ANDREWS,4324642103,2
SOUTH TEXAS SURGICAL HOSPITAL,6130 PARKWAY DRIVE,CORPUS CHRISTI,TX,78414,"6130 Parkway Dr, Corpus Christi, TX 78414",27.686876,-97.375079,NUECES,3619932000,2
SPRING HOSPITAL,20635 KUYKENDAHL ROAD,SPRING,TX,77379,"20635 Kuykendahl Rd, Spring, TX 77379",30.069105,-95.508451,HARRIS,3463314040,3
ST DAVIDS MEDICAL CENTER,919 E 32ND STREET,AUSTIN,TX,78705,"919 E 32nd St, Austin, TX 78705",30.290681,-97.726745,TRAVIS,5124767111,18
ST DAVIDS SOUTH AUSTIN MEDICAL CENTER,901 W BEN WHITE BLVD,AUSTIN,TX,78704,"901 W Ben White Blvd, Austin, TX 78704",30.227468,-97.773479,TRAVIS,5124472211,22
ST LUKES LAKESIDE HOSPITAL LLC,17400 ST LUKES WAY,THE WOODLANDS,TX,77384,"17400 St Lukes Way, Conroe, TX 77384",30.202798,-95.458451,MONTGOMERY,9362669110,6
TEXAS CHILDRENS HOSPITAL,6621 FANNIN STREET,HOUSTON,TX,77030,"6621 Fannin St, Houston, TX 77030",29.708155,-95.400365,HARRIS,8328241000,4
TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST FORT WORTH,6100 HARRIS PKWY,FORT WORTH,TX,76132,"6100 Harris Pkwy, Fort Worth, TX 76132",32.657808,-97.420746,TARRANT,8174335000,36
TEXAS HEALTH HOSPITAL ROCKWALL,3150 HORIZON ROAD,ROCKWALL,TX,75032,"3150 Horizon Rd, Rockwall, TX 75032",32.884889,-96.465807,ROCKWALL,4696981000,12
TEXAS HEALTH HUGULEY HOSPITAL,11801 SOUTH FREEWAY,BURLESON,TX,76028,"11801 South Fwy, Burleson, TX 76028",32.586584,-97.316183,TARRANT,8172939110,70
TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND,4400 LONG PRAIRIE ROAD,FLOWER MOUND,TX,75028,"4400 Long Prairie Rd, Flower Mound, TX 75028",33.045566,-97.06763,DENTON,4693227000,12
TEXAS RURAL HOSPITALS,300 EAST CROCKETT,CLEVELAND,TX,77327,"300 E Crockett St, Cleveland, TX 77327",30.341966,-95.085732,LIBERTY,2815925410,2
THE HEIGHTS HOSPITAL,1917 ASHLAND ST,HOUSTON,TX,77008,"1917 Ashland St, Houston, TX 77008",29.803651,-95.40423,HARRIS,3463961314,6
TRINITY REGIONAL HOSPITAL SACHSE,4750 PRESIDENT GEORGE BUSH HIGHWAY,SACHSE,TX,75048,"4750 N President George Bush Hwy, Garland, TX 75048",32.952375,-96.578784,DALLAS,4692982599,4
UNIVERSITY HOSPITAL,4502 MEDICAL DRIVE,SAN ANTONIO,TX,78229,"4502 Medical Dr, San Antonio, TX 78229",29.508584,-98.578904,BEXAR,2103584000,40
UNIVERSITY MEDICAL CENTER,602 INDIANA AVENUE,LUBBOCK,TX,79415,"602 Indiana Ave, Lubbock, TX 79415",33.588252,-101.892086,LUBBOCK,8067758200,32
UNIVERSITY MEDICAL CENTER OF EL PASO,4815 ALAMEDA AVENUE,EL PASO,TX,79905,"4815 Alameda Ave, El Paso, TX 79905",31.771335,-106.434012,EL PASO,9155441200,19
UT HEALTH EAST TEXAS PITTSBURG HOSPITAL,2701 US HIGHWAY 271 NORTH,PITTSBURG,TX,75686,"2701 US Highway 271 N, Pittsburg, TX 75686",33.03256,-94.961354,CAMP,9039465500,4
UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,1000 SOUTH BECKHAM AVENUE,TYLER,TX,75701,"1000 S Beckham Ave, Tyler, TX 75701",32.338206,-95.291088,SMITH,9035970351,16
VALLEY REGIONAL MEDICAL CENTER,100A E ALTON GLOOR BLVD,BROWNSVILLE,TX,78526,"100 E Alton Gloor Blvd, Brownsville, TX 78526",25.980037,-97.497577,CAMERON,9563507000,8