NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,NICU BEDS
ASCENSION SETON HAYS,6001 KYLE PARKWAY,KYLE,TX,78640,"6001 Kyle Pkwy, Kyle, TX 78640",30.008842,-97.852665,HAYS,5125045058,4
ASCENSION SETON MEDICAL CENTER AUSTIN,1201 WEST 38TH STREET,AUSTIN,TX,78705,"1201 W 38th St, Austin, TX 78705",30.304914,-97.745402,TRAVIS,5123241000,44
ASCENSION SETON WILLIAMSON,201 SETON PARKWAY,ROUND ROCK,TX,78665,"201 Seton Pkwy, Round Rock, TX 78665",30.568164,-97.651106,WILLIAMSON,5123244000,8
BAPTIST HOSPITALS OF SOUTHEAST TEXAS,3080 COLLEGE STREET,BEAUMONT,TX,77701,"3080 College St, Beaumont, TX 77701",30.070357,-94.11979,JEFFERSON,4092125000,6
BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER - FORT WORTH,1400 8TH AVE,FORT WORTH,TX,76104,"1400 8th Ave, Fort Worth, TX 76104",32.729334,-97.345545,TARRANT,8179262544,26
BAYLOR SCOTT & WHITE MEDICAL CENTER - CENTENNIAL,12505 LEBANON RD,FRISCO,TX,75035,"12505 Lebanon Rd, Frisco, TX 75035",33.11431,-96.770669,COLLIN,4697648000,14
BAYLOR SCOTT & WHITE MEDICAL CENTER - COLLEGE STATION,700 SCOTT AND WHITE DR,COLLEGE STATION,TX,77845,"College Station, TX 77845",30.579234,-96.293826,BRAZOS,9792070100,16
BAYLOR SCOTT & WHITE MEDICAL CENTER - FRISCO,5601 WARREN PARKWAY,FRISCO,TX,75034,"5601 Warren Pkwy, Frisco, TX 75034",33.10504,-96.837987,COLLIN,2144075000,8
BAYLOR SCOTT & WHITE MEDICAL CENTER - GRAPEVINE,1650 W COLLEGE ST,GRAPEVINE,TX,76051,"1650 W College St, Grapevine, TX 76051",32.933873,-97.093581,TARRANT,8174811588,21
BAYLOR SCOTT & WHITE MEDICAL CENTER - HILLCREST,100 HILLCREST MEDICAL BLV,WACO,TX,76712,"120 Hillcrest Medical Blvd, Waco, TX 76712",31.487525,-97.157815,MCLENNAN,2542029414,28
BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKE POINTE,6800 SCENIC DR,ROWLETT,TX,75088,"6800 Scenic Dr, Rowlett, TX 75088",32.917635,-96.508664,ROCKWALL,9725208000,21
BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKEWAY,100 MEDICAL PKWY,LAKEWAY,TX,78738,"100 Medical Pkwy, Lakeway, TX 78738",30.332918,-97.971449,TRAVIS,5126545000,11
BAYLOR SCOTT & WHITE MEDICAL CENTER - MCKINNEY,5252 W UNIVERSITY DR,MCKINNEY,TX,75071,"5252 W University Dr, McKinney, TX 75071",33.221085,-96.682581,COLLIN,4697642200,9
BAYLOR SCOTT & WHITE MEDICAL CENTER - TEMPLE,2401 S 31ST ST,TEMPLE,TX,76508,"2401 S 31st St, Temple, TX 76504",31.077709,-97.363854,BELL,2547242111,43
BAYLOR UNIVERSITY MEDICAL CENTER,3500 GASTON AVENUE,DALLAS,TX,75246,"3500 Gaston Ave, Dallas, TX 75246",32.790908,-96.779474,DALLAS,2148200111,83
BSA HOSPITAL LLC,1600 WALLACE BLVD,AMARILLO,TX,79106,"1600 Wallace Blvd, Amarillo, TX 79106",35.196207,-101.919999,POTTER,8062122000,20
CARROLLTON REGIONAL MEDICAL CENTER,4343 NORTH JOSEY LANE,CARROLLTON,TX,75010,"4343 N Josey Ln, Carrollton, TX 75010",33.028804,-96.885247,DENTON,9724921010,13
CEDAR PARK REGIONAL MEDICAL CENTER,1401 MEDICAL PARKWAY,CEDAR PARK,TX,78613,"1401 Medical Pkwy, Cedar Park, TX 78613",30.532424,-97.812177,WILLIAMSON,5125287000,8
CHI ST JOSEPH HEALTH - COLLEGE STATION HOSPITAL,1604 ROCK PRAIRIE ROAD,COLLEGE STATION,TX,77845,"1604 Rock Prairie Rd, College Station, TX 77845",30.582589,-96.290119,BRAZOS,9797645100,13
CHI ST LUKES HEALTH MEMORIAL LUFKIN,1201 W FRANK AVE,LUFKIN,TX,75904,"1201 W Frank Ave, Lufkin, TX 75904",31.336811,-94.743638,ANGELINA,9366348111,8
CHILDRENS MEDICAL CENTER OF DALLAS,1935 MEDICAL DISTRICT DRIVE,DALLAS,TX,75235,"1935 Medical District Dr, Dallas, TX 75235",32.808994,-96.837745,DALLAS,2144568339,74
CHRISTUS CHILDRENS,333 NORTH SANTA ROSA STREET,SAN ANTONIO,TX,78207,"333 N Santa Rosa St, San Antonio, TX 78207",29.428136,-98.497912,BEXAR,2107042317,45
CHRISTUS GOOD SHEPHERD MEDICAL CENTER - LONGVIEW,700 E MARSHALL AVENUE,LONGVIEW,TX,75601,"700 E Marshall Ave, Longview, TX 75601",32.500863,-94.730171,GREGG,9033151811,13
CHRISTUS MOTHER FRANCES HOSPITAL - SULPHUR SPRINGS,115 AIRPORT ROAD,SULPHUR SPRINGS,TX,75482,"115 Airport Rd, Sulphur Springs, TX 75482",33.157301,-95.599927,HOPKINS,9034394052,4
CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,800 EAST DAWSON,TYLER,TX,75701,"800 E Dawson St, Tyler, TX 75701",32.342624,-95.291902,SMITH,9035315400,44
CHRISTUS SANTA ROSA HOSPITAL - SAN MARCOS,1301 WONDER WORLD DRIVE,SAN MARCOS,TX,78666,"1301 Wonder World Dr, San Marcos, TX 78666",29.85279,-97.945825,HAYS,5123538979,9
CHRISTUS SOUTHEAST TEXAS - ST ELIZABETH,2830 CALDER ST,BEAUMONT,TX,77702,"2830 Calder Ave, Beaumont, TX 77702",30.086619,-94.131292,JEFFERSON,4092367107,14
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SOUTH,5950 SARATOGA BOULEVARD,CORPUS CHRISTI,TX,78414,"5950 Saratoga Blvd, Corpus Christi, TX 78414",27.681949,-97.376406,NUECES,3619855103,24
CHRISTUS ST MICHAEL HEALTH SYSTEM,2600 ST MICHAEL DRIVE,TEXARKANA,TX,75503,"2600 St Michael Dr, Texarkana, TX 75503",33.464014,-94.075579,BOWIE,9036142211,8
COOK CHILDRENS MEDICAL CENTER,801 SEVENTH AVENUE,FORT WORTH,TX,76104,"801 7th Ave, Fort Worth, TX 76104",32.736976,-97.341846,TARRANT,6828854326,106
CORPUS CHRISTI MEDICAL CENTER BAY AREA,7101 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,TX,78412,"7101 S Padre Island Dr, Corpus Christi, TX 78412",27.69334,-97.341648,NUECES,3617611200,16
CORPUS CHRISTI MEDICAL CENTER DOCTORS REGIONAL,3315 SOUTH ALAMEDA,CORPUS CHRISTI,TX,78411,"3315 S Alameda St, Corpus Christi, TX 78411",27.754109,-97.38838,NUECES,3617611400,8
COVENANT CHILDRENS HOSPITAL,4015 22ND PLACE,LUBBOCK,TX,79410,"4015 22nd Pl, Lubbock, TX 79410",33.573954,-101.900299,LUBBOCK,8067257960,43
DEL SOL MEDICAL CENTER A CAMPUS OF LPDS HEALTHCARE,10301 GATEWAY BOULEVARD WEST,EL PASO,TX,79925,"10301 Gateway Blvd W, El Paso, TX 79925",31.756644,-106.351462,EL PASO,9155959000,21
DELL CHILDRENS MEDICAL CENTER,4900 MUELLER BLVD,AUSTIN,TX,78723,"4900 Mueller Blvd, Austin, TX 78723",30.303505,-97.706219,TRAVIS,5123240101,32
DETAR HEALTHCARE SYSTEM,101 MEDICAL DRIVE,VICTORIA,TX,77904,"101 Medical Dr, Victoria, TX 77904",28.854217,-97.019618,VICTORIA,3615736100,9
DOCTORS HOSPITAL OF LAREDO,10700 MCPHERSON ROAD,LAREDO,TX,78045,"10700 McPherson Rd, Laredo, TX 78045",27.607033,-99.476413,WEBB,9565232000,12
DRISCOLL CHILDRENS HOSPITAL,3533 SOUTH ALAMEDA,CORPUS CHRISTI,TX,78411,"3533 S Alameda St, Corpus Christi, TX 78411",27.74814,-97.384405,NUECES,3616945021,61
DRISCOLL CHILDRENS HOSPITAL NEONATAL CARE CENTER,5950 SARATOGA BLVD 5TH FLOOR NICU,CORPUS CHRISTI,TX,78414,"5950 Saratoga Blvd, Fl 5, Corpus Christi, TX 78414",27.681949,-97.376406,NUECES,3616945021,24
EL PASO CHILDRENS HOSPITAL,4845 ALAMEDA AVE,EL PASO,TX,79905,"4845 Alameda Ave, El Paso, TX 79905",31.771259,-106.433843,EL PASO,9152428600,26
HARRIS HEALTH SYSTEM BEN TAUB HOSPITAL,1504 TAUB LOOP,HOUSTON,TX,77030,"1504 Taub Loop, Houston, TX 77030",29.712675,-95.393774,HARRIS,3464260478,20
HARRIS HEALTH SYSTEM LYNDON B JOHNSON HOSPITAL,5656 KELLEY STREET,HOUSTON,TX,77026,"5656 Kelley St, Houston, TX 77026",29.811429,-95.310943,HARRIS,3464260478,20
HCA HOUSTON HEALTHCARE CLEAR LAKE,500 MEDICAL CENTER BLVD,WEBSTER,TX,77598,"500 Medical Center Blvd, Webster, TX 77598",29.539812,-95.126216,HARRIS,2813322511,61
HCA HOUSTON HEALTHCARE CONROE,504 MEDICAL CENTER BOULEVARD,CONROE,TX,77304,"504 Medical Center Blvd, Conroe, TX 77304",30.284117,-95.46829,MONTGOMERY,9365391111,16
HCA HOUSTON HEALTHCARE KINGWOOD,22999 US HIGHWAY 59,KINGWOOD,TX,77339,"22999 US Highway 59 N, Humble, TX 77339",30.05008,-95.254977,MONTGOMERY,2813488001,24
HCA HOUSTON HEALTHCARE NORTHWEST,710 CYPRESS CREEK PARKWAY,HOUSTON,TX,77090,"709 Cypress Station Dr, Houston, TX 77090",30.030067,-95.440495,HARRIS,2814401000,10
HCA HOUSTON HEALTHCARE SOUTHEAST,4000 SPENCER HIGHWAY,PASADENA,TX,77504,"4000 Spencer Hwy, Pasadena, TX 77504",29.661171,-95.183755,HARRIS,7133592000,14
HCA HOUSTON HEALTHCARE TOMBALL,605 HOLDERRIETH BOULEVARD,TOMBALL,TX,77375,"605 Holderrieth Blvd, Tomball, TX 77375",30.0874,-95.620728,HARRIS,2814017500,7
HENDRICK MEDICAL CENTER,1900 PINE,ABILENE,TX,79601,"Abilene, TX 79601",32.576489,-99.665323,TAYLOR,3256702000,25
HENDRICK MEDICAL CENTER SOUTH,6250 US HIGHWAY 83,ABILENE,TX,79606,"6254 US Hwy 83, Winters, TX 79567",31.908644,-99.966048,TAYLOR,3254281010,16
HOUSTON METHODIST SUGAR LAND HOSPITAL,16655 SOUTHWEST FWY,SUGAR LAND,TX,77479,"16655 Southwest Fwy, Sugar Land, TX 77479",29.588964,-95.631127,FORT BEND,2812747000,7
HOUSTON METHODIST THE WOODLANDS HOSPITAL,17201 I-45 SOUTH,THE WOODLANDS,TX,77385,"17201 I-45 S, Shenandoah, TX 77385",30.205188,-95.451727,MONTGOMERY,9362702000,23
HOUSTON METHODIST WEST HOSPITAL,18500 KATY FWY,HOUSTON,TX,77094,"18500 Katy Fwy, Houston, TX 77094",29.787208,-95.697905,HARRIS,8325221000,19
HOUSTON METHODIST WILLOWBROOK HOSPITAL,18220 STATE HIGHWAY 249,HOUSTON,TX,77070,"18220 Tomball Pkwy, Houston, TX 77070",29.966597,-95.551132,HARRIS,2817371000,10
HUNT REGIONAL HEALTHCARE,4215 JOE RAMSEY BOULEVARD,GREENVILLE,TX,75401,"4215 Joe Ramsey Blvd, Greenville, TX 75401",33.122487,-96.123918,HUNT,9034085000,18
JOHN PETER SMITH HOSPITAL,1500 S MAIN ST,FORT WORTH,TX,76104,"1500 S Main St, Fort Worth, TX 76104",32.726819,-97.328127,TARRANT,8179213431,50
LAREDO MEDICAL CENTER,1700 EAST SAUNDERS STREET,LAREDO,TX,78041,"1700 E Saunders St, Laredo, TX 78041",27.530851,-99.479962,WEBB,9567965000,17
LAS PALMAS MEDICAL CENTER A CAMPUS OF LPDS HEALTHCARE,1801 NORTH OREGON STREET,EL PASO,TX,79902,"1801 N Oregon St, El Paso, TX 79902",31.770037,-106.49823,EL PASO,9155211776,35
LONGVIEW REGIONAL MEDICAL CENTER,2901 NORTH FOURTH STREET,LONGVIEW,TX,75605,"2901 N 4th St, Longview, TX 75605",32.532185,-94.728805,GREGG,9037581818,21
MEDICAL CENTER HOSPITAL,500 W 4TH ST,ODESSA,TX,79761,"500 W 4th St, Odessa, TX 79761",31.845373,-102.373391,ECTOR,4326402413,30
MEDICAL CITY ALLIANCE,3101 N TARRANT PKWY,FORT WORTH,TX,76177,"3101 N Tarrant Pkwy, Fort Worth, TX 76177",32.89983,-97.313977,TARRANT,8176391100,8
MEDICAL CITY ARLINGTON,3301 MATLOCK RD,ARLINGTON,TX,76015,"3301 Matlock Rd, Arlington, TX 76015",32.690201,-97.113928,TARRANT,8174653241,35
MEDICAL CITY DALLAS HOSPITAL,7777 FOREST LN,DALLAS,TX,75230,"7777 Forest Ln, Dallas, TX 75230",32.911775,-96.773229,DALLAS,9725666000,125
MEDICAL CITY FRISCO A MEDICAL CENTER OF PLANO FACILITY,5500 FRISCO SQUARE BLVD,FRISCO,TX,75034,"5500 Frisco Square Blvd, Frisco, TX 75034",33.150894,-96.838944,COLLIN,2146180500,6
MEDICAL CITY LAS COLINAS,6800 N MACARTHUR BLVD,IRVING,TX,75039,"6800 N Macarthur Blvd, Irving, TX 75039",32.902163,-96.957303,DALLAS,9729692000,6
MEDICAL CITY LEWISVILLE,500 W MAIN ST,LEWISVILLE,TX,75057,"500 W Main St, Lewisville, TX 75057",33.044381,-97.004532,DENTON,4693702707,16
MEDICAL CITY MCKINNEY,4500 MEDICAL CENTER DR,MCKINNEY,TX,75069,"4500 Medical Center Dr, McKinney, TX 75069",33.159641,-96.636911,COLLIN,9725478001,7
MEDICAL CITY PLANO,3901 W 15TH ST,PLANO,TX,75075,"3901 W 15th St, Plano, TX 75075",33.021675,-96.766206,COLLIN,9725191101,40
MEMORIAL HERMANN - TEXAS MEDICAL CENTER,6411 FANNIN,HOUSTON,TX,77030,"6411 Fannin St, Houston, TX 77030",29.714052,-95.396173,HARRIS,7137044000,118
MEMORIAL HERMANN KATY HOSPITAL,23900 KATY FREEWAY,KATY,TX,77494,"23900 Katy Fwy, Katy, TX 77494",29.787086,-95.786189,HARRIS,2816447000,15
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,921 GESSNER ROAD,HOUSTON,TX,77024,"921 Gessner Rd, Houston, TX 77024",29.781137,-95.545763,HARRIS,7139323000,24
MEMORIAL HERMANN NORTHEAST HOSPITAL,18951 MEMORIAL NORTH,HUMBLE,TX,77338,"18951 Memorial Blvd, Humble, TX 77338",29.994309,-95.273599,HARRIS,2815407700,10
MEMORIAL HERMANN SOUTHEAST HOSPITAL,11800 ASTORIA BOULEVARD,HOUSTON,TX,77089,"11800 Astoria Blvd, Houston, TX 77089",29.58251,-95.207263,HARRIS,2819296100,17
MEMORIAL HERMANN SOUTHWEST HOSPITAL,7600 BEECHNUT,HOUSTON,TX,77074,"7600 Beechnut St, Houston, TX 77074",29.692477,-95.521494,HARRIS,7134565000,40
MEMORIAL HERMANN THE WOODLANDS MEDICAL CENTER,9250 PINECROFT,THE WOODLANDS,TX,77380,"9250 Pinecroft Dr, Shenandoah, TX 77380",30.174078,-95.454003,MONTGOMERY,7138972301,24
METHODIST DALLAS MEDICAL CENTER,1441 NORTH BECKLEY AVENUE,DALLAS,TX,75203,"1441 N Beckley Ave, Dallas, TX 75203",32.76156,-96.825026,DALLAS,2149478181,50
METHODIST HOSPITAL,7700 FLOYD CURL DRIVE,SAN ANTONIO,TX,78229,"7700 Floyd Curl Dr, San Antonio, TX 78229",29.507191,-98.572298,BEXAR,2105754000,94
METHODIST HOSPITAL | STONE OAK,1139 EAST SONTERRA BLVD,SAN ANTONIO,TX,78258,"1139 E Sonterra Blvd, San Antonio, TX 78258",29.615388,-98.476211,BEXAR,2106382000,23
METHODIST MANSFIELD MEDICAL CENTER,2700 E BROAD ST,MANSFIELD,TX,76063,"2700 E Broad St, Mansfield, TX 76063",32.568385,-97.094466,TARRANT,6822426000,16
METHODIST RICHARDSON MEDICAL CENTER,2831 E PRES GEORGE BUSH HWY,RICHARDSON,TX,75082,"Richardson, TX 75082",32.979315,-96.69137,COLLIN,4692042000,8
METHODIST RICHARDSON MEDICAL CENTER CAMPUS FOR CONTINUING CARE,401 W CAMPBELL ROAD,RICHARDSON,TX,75080,"401 W Campbell Rd, Richardson, TX 75080",32.974164,-96.726424,DALLAS,4692042000,4
METROPOLITAN METHODIST HOSPITAL,1310 MCCULLOUGH AVENUE,SAN ANTONIO,TX,78212,"1310 McCullough Ave, San Antonio, TX 78212",29.441133,-98.491008,BEXAR,2107572200,16
MIDLAND MEMORIAL HOSPITAL,400 ROSALIND REDFERN GROVER PKWY,MIDLAND,TX,79701,"400 Rosalind Redfern Grover Pkwy, Midland, TX 79701",31.997566,-102.100201,MIDLAND,4322211111,18
MISSION REGIONAL MEDICAL CENTER,900 SOUTH BRYAN ROAD,MISSION,TX,78572,"900 S Bryan Rd, Mission, TX 78572",26.196411,-98.313817,HIDALGO,9563239103,20
MISSION TRAIL BAPTIST HOSPITAL,3333 RESEARCH PLAZA,SAN ANTONIO,TX,78235,"3333 Research Plz, San Antonio, TX 78235",29.344319,-98.43804,BEXAR,2102973600,8
NORTH AUSTIN MEDICAL CENTER,12221 MOPAC EXPRESSWAY NORTH,AUSTIN,TX,78758,"N Mo-Pac Expy, Austin, TX 78759",30.376097,-97.738627,TRAVIS,5129012529,96
NORTH CENTRAL BAPTIST HOSPITAL,520 MADISON OAK,SAN ANTONIO,TX,78258,"520 Madison Oak Dr, San Antonio, TX 78258",29.620513,-98.491862,BEXAR,2102974600,72
NORTHWEST TEXAS HOSPITAL,1501 SOUTH COULTER STREET,AMARILLO,TX,79106,"1501 S Coulter St, Amarillo, TX 79106",35.199823,-101.920803,POTTER,8063541000,50
ODESSA REGIONAL MEDICAL CENTER,520 EAST SIXTH STREET,ODESSA,TX,79761,"520 E 6th St, Odessa, TX 79761",31.851086,-102.365556,ECTOR,4325828000,49
PARKLAND MEMORIAL HOSPITAL,5200 - 5201 HARRY HINES BOULEVARD,DALLAS,TX,75235,"5201 Harry Hines Blvd, Dallas, TX 75235",32.811035,-96.837839,DALLAS,2145900356,84
RESOLUTE BAPTIST HOSPITAL,555 CREEKSIDE CROSSING,NEW BRAUNFELS,TX,78130,"555 Creekside Xing, New Braunfels, TX 78130",29.721947,-98.070208,COMAL,8305006602,16
RIO GRANDE REGIONAL HOSPITAL,101 E RIDGE ROAD,MCALLEN,TX,78503,"101 E Ridge Rd, McAllen, TX 78503",26.186287,-98.222486,HIDALGO,9566326000,32
ROUND ROCK MEDICAL CENTER,2400 ROUND ROCK AVENUE,ROUND ROCK,TX,78681,"2400 Round Rock Ave, Round Rock, TX 78681",30.510718,-97.713493,WILLIAMSON,5123411000,12
SHANNON MEDICAL CENTER,120 E HARRIS AVE,SAN ANGELO,TX,76903,"120 E Harris Ave, San Angelo, TX 76903",31.465082,-100.434641,TOM GREEN,3256536741,4
SHANNON MEDICAL CENTER SOUTH,3501 KNICKERBOCKER RD,SAN ANGELO,TX,76904,"3501 Knickerbocker Rd, San Angelo, TX 76904",31.418433,-100.46964,TOM GREEN,3259499511,6
SOUTH TEXAS HEALTH SYSTEM MCALLEN,301 WEST EXPRESSWAY 83,MCALLEN,TX,78503,"301 Expwy 83, McAllen, TX 78503",26.186457,-98.225692,HIDALGO,9566324000,46
ST DAVIDS MEDICAL CENTER,919 E 32ND STREET,AUSTIN,TX,78705,"919 E 32nd St, Austin, TX 78705",30.290681,-97.726745,TRAVIS,5124767111,32
ST JOSEPH MEDICAL CENTER,1401 ST JOSEPH PARKWAY,HOUSTON,TX,77002,"1401 St Joseph Pkwy, Houston, TX 77002",29.748091,-95.366207,HARRIS,7137565007,29
ST JOSEPH REGIONAL HEALTH CENTER,2801 FRANCISCAN DRIVE,BRYAN,TX,77802,"2801 Franciscan Dr, Bryan, TX 77802",30.655929,-96.346726,BRAZOS,9797763777,4
ST LUKES BAPTIST HOSPITAL,7930 FLOYD CURL DRIVE,SAN ANTONIO,TX,78229,"7930 Floyd Curl Dr, San Antonio, TX 78229",29.512373,-98.574718,BEXAR,2102975600,36
ST LUKES HOSPITAL AT THE VINTAGE,20171 CHASEWOOD PARK DR,HOUSTON,TX,77070,"20171 Chasewood Park Dr, Houston, TX 77070",29.989252,-95.567478,HARRIS,8325345000,4
ST LUKES SUGAR LAND HOSPITAL,1317 LAKE POINTE PARKWAY,SUGAR LAND,TX,77478,"1317 Lake Pointe Pkwy, Sugar Land, TX 77478",29.603754,-95.620268,FORT BEND,2816377000,5
ST LUKES THE WOODLANDS HOSPITAL,17200 ST LUKES WAY,THE WOODLANDS,TX,77384,"17200 St Lukes Way, Conroe, TX 77384",30.205221,-95.458625,MONTGOMERY,9362662000,10
TEXAS CHILDRENS HOSPITAL,6621 FANNIN STREET,HOUSTON,TX,77030,"6621 Fannin St, Houston, TX 77030",29.708155,-95.400365,HARRIS,8328241000,167
TEXAS CHILDRENS HOSPITAL THE WOODLANDS,17600 INTERSTATE 45 SOUTH,THE WOODLANDS,TX,77384,"17600 S I-45, Conroe, TX 77384",30.200999,-95.457618,MONTGOMERY,9362675000,14
TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,800 W RANDOL MILL RD,ARLINGTON,TX,76012,"800 W Randol Mill Rd, Arlington, TX 76012",32.751423,-97.114841,TARRANT,8179606535,20
TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,10864 TEXAS HEALTH TRL,FORT WORTH,TX,76244,"10864 Texas Health Trl, Fort Worth, TX 76244",32.897857,-97.314045,TARRANT,6822122000,8
TEXAS HEALTH HARRIS METHODIST HOSPITAL FORT WORTH,1301 PENNSYLVANIA AVE,FORT WORTH,TX,76104,"1301 Pennsylvania Ave, Fort Worth, TX 76104",32.736811,-97.33891,TARRANT,8172502000,53
TEXAS HEALTH HARRIS METHODIST HOSPITAL HURST-EULESS-BEDFORD,1600 HOSPITAL PKWY,BEDFORD,TX,76022,"1600 Hospital Pkwy, Bedford, TX 76022",32.835072,-97.123334,TARRANT,8178484602,16
TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST FORT WORTH,6100 HARRIS PKWY,FORT WORTH,TX,76132,"6100 Harris Pkwy, Fort Worth, TX 76132",32.657808,-97.420746,TARRANT,8174335000,16
TEXAS HEALTH HOSPITAL FRISCO,12400 DALLAS PKWY,FRISCO,TX,75033,"12400 Dallas Pkwy, Frisco, TX 75033",33.181516,-96.837082,COLLIN,4694952000,8
TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,1105 CENTRAL EXPY N,ALLEN,TX,75013,"1105 N Central Expy, Allen, TX 75013",33.116231,-96.673545,COLLIN,9727471000,6
TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS,8200 WALNUT HILL LN,DALLAS,TX,75231,"8200 Walnut Hill Ln, Dallas, TX 75231",32.879541,-96.761274,DALLAS,2143456789,91
TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON,3000 I 35 NORTH,DENTON,TX,76201,"3008 S I-35 E, Denton, TX 76210",33.17919,-97.099445,DENTON,9408987191,10
TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,6200 W PARKER RD,PLANO,TX,75093,"6200 W Parker Rd, Plano, TX 75093",33.044047,-96.838405,COLLIN,9729818000,45
TEXOMA MEDICAL CENTER,5016 SOUTH US HIGHWAY 75,DENISON,TX,75020,"5016 S US Highway 75, Denison, TX 75020",33.710009,-96.584679,GRAYSON,9034164000,12
THE HOSPITALS OF PROVIDENCE EAST CAMPUS,3280 JOE BATTLE BOULEVARD,EL PASO,TX,79938,"3280 Joe Battle Blvd, El Paso, TX 79938",31.790579,-106.264899,EL PASO,9158322000,12
THE HOSPITALS OF PROVIDENCE MEMORIAL CAMPUS,2001 NORTH OREGON STREET,EL PASO,TX,79902,"2001 N Oregon St, El Paso, TX 79902",31.771502,-106.499726,EL PASO,9155776011,30
THE HOSPITALS OF PROVIDENCE TRANSMOUNTAIN CAMPUS,2000 TRANSMOUNTAIN RD,EL PASO,TX,79911,"El Paso, TX 79911",31.892468,-106.542594,EL PASO,9158778136,6
THE MEDICAL CENTER OF SOUTHEAST TEXAS,2555 JIMMY JOHNSON BLVD,PORT ARTHUR,TX,77640,"2555 Jimmy Johnson Blvd, Port Arthur, TX 77640",29.933896,-93.988304,JEFFERSON,4098535902,10
THE WOMANS HOSPITAL OF TEXAS,7600 FANNIN STREET,HOUSTON,TX,77054,"7600 Fannin St, Houston, TX 77054",29.693102,-95.402355,HARRIS,7137901234,146
UNIVERSITY HOSPITAL,4502 MEDICAL DRIVE,SAN ANTONIO,TX,78229,"4502 Medical Dr, San Antonio, TX 78229",29.508584,-98.578904,BEXAR,2103584000,58
UNIVERSITY MEDICAL CENTER,602 INDIANA AVENUE,LUBBOCK,TX,79415,"602 Indiana Ave, Lubbock, TX 79415",33.588252,-101.892086,LUBBOCK,8067758200,41
UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,1000 SOUTH BECKHAM AVENUE,TYLER,TX,75701,"1000 S Beckham Ave, Tyler, TX 75701",32.338206,-95.291088,SMITH,9035970351,9
VALLEY BAPTIST MEDICAL CENTER,2101 PEASE ST,HARLINGEN,TX,78550,"2101 Pease St, Harlingen, TX 78550",26.17459,-97.671586,CAMERON,9563891674,38
VALLEY BAPTIST MEDICAL CENTER - BROWNSVILLE,1040 W JEFFERSON ST,BROWNSVILLE,TX,78520,"W Jefferson St, Brownsville, TX 78520",25.916015,-97.509916,CAMERON,9566985421,36
VALLEY REGIONAL MEDICAL CENTER,100A E ALTON GLOOR BLVD,BROWNSVILLE,TX,78526,"100 E Alton Gloor Blvd, Brownsville, TX 78526",25.980037,-97.497577,CAMERON,9563507000,10
WOMENS HOSPITAL AT RENAISSANCE,5502 SOUTH MC COLL,EDINBURG,TX,78539,"5502 S McColl Rd, Edinburg, TX 78539",26.252768,-98.202966,HIDALGO,9563625601,48
WOODLAND HEIGHTS MEDICAL CENTER,505 SOUTH JOHN REDDITT DRIVE,LUFKIN,TX,75904,"505 S John Redditt Dr, Lufkin, TX 75904",31.329219,-94.756536,ANGELINA,9366378501,15