NAME,ADDRESS,CITY,STATE,ZIP,API ADDRESS,LAT,LONG,COUNTY,PHONE,SKILLED NURSING BEDS
BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL,546 N KEGLEY RD,TEMPLE,TX,76502,"546 N Kegley Rd, Temple, TX 76502",31.11812,-97.399072,BELL,2542150900,23
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,600 ELIZABETH STREET,CORPUS CHRISTI,TX,78404,"608 Elizabeth Ave, Kingsville, TX 78363",27.500942,-97.861277,NUECES,3618813148,24
CITIZENS MEDICAL CENTER,2701 HOSPITAL DRIVE,VICTORIA,TX,77901,"2701 Hospital Dr, Victoria, TX 77901",28.81309,-96.977678,VICTORIA,3615739181,41
HENDRICK MEDICAL CENTER,1900 PINE,ABILENE,TX,79601,"Abilene, TX 79601",32.576489,-99.665323,TAYLOR,3256702000,20
HENDRICK MEDICAL CENTER BROWNWOOD,1501 BURNETT RD,BROWNWOOD,TX,76801,"1501 Burnett Rd, Brownwood, TX 76801",31.678089,-98.99369,BROWN,3256493300,18
HENDRICK MEDICAL CENTER SOUTH,6250 US HIGHWAY 83,ABILENE,TX,79606,"6254 US Hwy 83, Winters, TX 79567",31.908644,-99.966048,TAYLOR,3254281010,25
HOUSTON METHODIST HOSPITAL,6565 FANNIN ST,HOUSTON,TX,77030,"6565 Fannin St, Houston, TX 77030",29.709033,-95.400335,HARRIS,7137903311,25
LAREDO MEDICAL CENTER,1700 EAST SAUNDERS STREET,LAREDO,TX,78041,"1700 E Saunders St, Laredo, TX 78041",27.530851,-99.479962,WEBB,9567965000,18
MEMORIAL HERMANN - TEXAS MEDICAL CENTER,6411 FANNIN,HOUSTON,TX,77030,"6411 Fannin St, Houston, TX 77030",29.714052,-95.396173,HARRIS,7137044000,9
MERIDIAN HOSPITAL PLLC,9430 KATY FREEWAY,HOUSTON,TX,77055,"9430 Katy Fwy, Houston, TX 77055",29.785129,-95.524605,HARRIS,8327301370,50
OAKBEND MEDICAL CENTER,1705 JACKSON STREET,RICHMOND,TX,77469,"1705 Jackson St, Richmond, TX 77469",29.577706,-95.770969,FORT BEND,2813413000,36
SCHLEICHER COUNTY MEDICAL CENTER,102 NORTH HIGHWAY 277,ELDORADO,TX,76936,"102 N US Highway 277, Eldorado, TX 76936",30.870666,-100.592469,SCHLEICHER,3258532507,6
SE TEXAS ER AND HOSPITAL,19211 MCKAY BLVD,HUMBLE,TX,77338,"19211 McKay Blvd, Humble, TX 77338",29.998641,-95.276242,HARRIS,2818835500,9
SHANNON MEDICAL CENTER ST JOHNS CAMPUS,2018 PULLIAM STREET,SAN ANGELO,TX,76905,"2018 Pulliam St, San Angelo, TX 76905",31.471467,-100.402302,TOM GREEN,3256536741,28
ST JOSEPH MEDICAL CENTER,1401 ST JOSEPH PARKWAY,HOUSTON,TX,77002,"1401 St Joseph Pkwy, Houston, TX 77002",29.748091,-95.366207,HARRIS,7137565007,18
TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,850 ED HALL DRIVE,KAUFMAN,TX,75142,"850 Ed Hall Dr, Kaufman, TX 75142",32.59219,-96.318447,KAUFMAN,9729327200,10
WADLEY REGIONAL MEDICAL CENTER,1000 PINE,TEXARKANA,TX,75501,"904 Texarkana Ave, Texarkana, TX 75501",33.412317,-94.074189,BOWIE,9037988000,14